NAME,TEAM,COLLEGE
Josh Allen,Buffalo Bills,Wyoming
Kyle Allen,Washington Redskins,Houston
Drew Anderson,Arizona Cardinals,Murray State
Matt Barkley,Buffalo Bills,USC
J.T. Barrett,Pittsburgh Steelers,Ohio State
C.J. Beathard,San Francisco,49ers Iowa
Kurt Benkert,Atlanta Falcons,Virginia
David Blough,Detroit Lions,Purdue
Tim Boyle,Green Bay Packers,Eastern Kentucky
Tom Brady,Tampa Bay,Buccaneers Michigan
Tyler Bray,Chicago Bears,Tennessee
Drew Brees,New Orleans,Saints Purdue
Teddy Bridgewater,Carolina Panthers,Louisville
Jacoby Brissett,Indianapolis Colts,NC State
Jake Browning,Minnesota Vikings,Washington
Joe Burrow,Cincinnati Bengals,LSU
Derek Carr,Las Vegas Raiders,Fresno State
Case Cookus,New York Giants,Northern Arizona
Kirk Cousins,Minnesota Vikings,Michigan State
Andy Dalton,Dallas Cowboys,TCU
Chase Daniel,Detroit Lions,Missouri
Sam Darnold,New York,Jets USC
Kevin Davidson,Cleveland Browns,Princeton
Ben DiNucci,Dallas Cowboys,James Madison
Joshua Dobbs,Jacksonville Jaguars,Tennessee
Jake Dolegala,Cincinnati Bengals,Central Connecticut
Jeff Driskel,Denver Broncos,Louisiana Tech
Jacob Eason,Indianapolis Colts,Washington
Danny Etling,Atlanta Falcons,LSU
David Fales,New York Jets,San Jose State
Ryan Finley,Cincinnati Bengals,NC State
Ryan Fitzpatrick,Miami Dolphins,Harvard
Nick Foles,Chicago Bears,Arizona
Jake Fromm,Buffalo Bills,Georgia
Blaine Gabbert,Tampa Bay,Buccaneers Missouri
Jimmy Garoppolo,San Francisco 49ers,Eastern Illinois
Garrett Gilbert,Cleveland Browns,SMU
Jared Goff,Los Angeles,Rams California
Will Grier,Carolina Panthers,West Virginia
Ryan Griffin,Tampa Bay,Buccaneers Tulane
III Griffin,Robert Baltimore,Ravens Baylor
Jr. Haskins,Dwayne Washington Redskins,Ohio State
Chad Henne,Kansas City,Chiefs Michigan
Justin Herbert,Los Angeles,Chargers Oregon
Taysom Hill,New Orleans,Saints BYU
Devlin Hodges,Pittsburgh Steelers,Samford
Brian Hoyer,New England Patriots,Michigan State
Brett Hundley,Arizona Cardinals,UCLA
Tyler Huntley,Baltimore Ravens,Utah
Jalen Hurts,Philadelphia Eagles,Oklahoma
Lamar Jackson,Baltimore Ravens,Louisville
Daniel Jones,New York,Giants Duke
Chad Kelly,Indianapolis Colts,Ole Miss
Kyle Lauletta,Philadelphia Eagles,Richmond
Brian Lewerke,New England Patriots,Michigan State
Drew Lock,Denver Broncos,Missouri
Jordan Love,Green Bay Packers,Utah State
Josh Love,Los Angeles Rams,San Jose State
Jake Luton,Jacksonville Jaguars,Oregon State
Paxton Lynch,Pittsburgh Steelers,Memphis
Patrick Mahomes,Kansas City Chiefs,Texas Tech
Sean Mannion,Minnesota Vikings,Oregon State
Marcus Mariota,Las Vegas,Raiders Oregon
Baker Mayfield,Cleveland Browns,Oklahoma
AJ McCarron,Houston Texans,Alabama
Colt McCoy,New York,Giants Texas
Cole McDonald,Tennessee Titans,Hawai'i
Alex McGough,Houston Texans,Florida International
Trace McSorley,Baltimore Ravens,Penn State
II Minshew,Gardner Jacksonville Jaguars,Washington State
Steven Montez,Washington Redskins,Colorado
James Morgan,New York Jets,Florida International
Jalen Morton,Green Bay Packers,Prairie View A&M
Nick Mullens,San Francisco 49ers,Southern Mississippi
Kyler Murray,Arizona Cardinals,Oklahoma
Riley Neal,Denver Broncos,Vanderbilt
Shea Patterson,Kansas City,Chiefs Michigan
Bryce Perkins,Los Angeles,Rams Virginia
Nathan Peterman,Las Vegas,Raiders Pittsburgh
Dak Prescott,Dallas Cowboys,Mississippi State
Philip Rivers,Indianapolis Colts,NC State
Aaron Rodgers,Green Bay,Packers California
Ben Roethlisberger,Pittsburgh Steelers,Miami (OH)
Josh Rosen,Miami Dolphins,UCLA
Jake Rudock,Miami Dolphins,Michigan
Mason Rudolph,Pittsburgh Steelers,Oklahoma State
Cooper Rush,New York Giants,Central Michigan
Broc Rutter,San Francisco 49ers,North Central
Matt Ryan,Atlanta Falcons,Boston College
Brett Rypien,Denver Broncos,Boise State
Matt Schaub,Atlanta Falcons,Virginia
Alex Smith,Washington Redskins,Utah
Matthew Stafford,Detroit Lions,Georgia
Nate Stanley,Minnesota Vikings,Iowa
Tommy Stevens,New Orleans Saints,Mississippi State
Easton Stick,Los Angeles Chargers,North Dakota State
Jarrett Stidham,New England,Patriots Auburn
Chris Streveler,Arizona Cardinals,South Dakota
Nate Sudfeld,Philadelphia Eagles,Indiana
Jordan Ta'amu,Kansas City Chiefs,Ole Miss
Tua Tagovailoa,Miami Dolphins,Alabama
Ryan Tannehill,Tennessee Titans,Texas A&M
Alex Tanney,New York Giants,Monmouth (IL)
Tyrod Taylor,Los Angeles Chargers,Virginia Tech
Clayton Thorson,Dallas Cowboys,Northwestern
Nick Tiano,Houston Texans,Chattanooga
Mitchell Trubisky,Chicago Bears,North Carolina
P.J. Walker,Carolina Panthers,Temple
Deshaun Watson,Houston Texans,Clemson
Davis Webb,Buffalo Bills,California
Carson Wentz,Philadelphia Eagles North,Dakota State
Mike White,New York Jets,Western Kentucky
Russell Wilson,Seattle Seahawks,Wisconsin
Jameis Winston,New Orleans Saints,Florida State
John Wolford,Los Angeles Rams,Wake Forest
Logan Woodside,Tennessee Titans,Toledo
